IntensityIn IntensityOut Luminance
1.660561660561660491e-01 4.941176470590000203e-01 8.333666666666665890e+01
1.697191697191697268e-01 4.980392156860000141e-01 8.503333333333333144e+01
1.731379731379731335e-01 5.019607843140000414e-01 8.693666666666666742e+01
1.770451770451770546e-01 5.058823529410000353e-01 8.853333333333334565e+01
1.802197802197802179e-01 5.098039215690000070e-01 9.034666666666664980e+01
1.838827838827838956e-01 5.137254901960000009e-01 9.214666666666666117e+01
1.875457875457875456e-01 5.176470588239999726e-01 9.378333333333334565e+01
1.909645909645909523e-01 5.215686274509999665e-01 9.552666666666668505e+01
1.946275946275946300e-01 5.254901960779999603e-01 9.762000000000000455e+01
1.987789987789987667e-01 5.294117647060000431e-01 9.954333333333333655e+01
2.026862026862026878e-01 5.333333333330000370e-01 1.011666666666666714e+02
2.061050061050060944e-01 5.372549019610000087e-01 1.031666666666666714e+02
2.100122100122100155e-01 5.411764705880000026e-01 1.049333333333333371e+02
2.136752136752136655e-01 5.450980392159999743e-01 1.067000000000000028e+02
2.173382173382173432e-01 5.490196078429999682e-01 1.090333333333333456e+02
2.219780219780219666e-01 5.529411764710000510e-01 1.109666666666666544e+02
2.258852258852258876e-01 5.568627450980000448e-01 1.128000000000000114e+02
2.297924297924297810e-01 5.607843137250000387e-01 1.150000000000000000e+02
2.341880341880341887e-01 5.647058823530000105e-01 1.168999999999999915e+02
2.380952380952380820e-01 5.686274509800000043e-01 1.188333333333333286e+02
2.420024420024420031e-01 5.725490196079999761e-01 1.210666666666666629e+02
2.466422466422466542e-01 5.764705882349999699e-01 1.233333333333333286e+02
2.510378510378510342e-01 5.803921568630000527e-01 1.255666666666666629e+02
2.556776556776556575e-01 5.843137254900000466e-01 1.274666666666666544e+02
2.595848595848596063e-01 5.882352941180000183e-01 1.297333333333333201e+02
2.642246642246642296e-01 5.921568627450000122e-01 1.320666666666666629e+02
2.688644688644688530e-01 5.960784313729999839e-01 1.343666666666666742e+02
2.735042735042735318e-01 5.999999999999999778e-01 1.362666666666666799e+02
2.774114774114774251e-01 6.039215686269999717e-01 1.384333333333333087e+02
2.818070818070818051e-01 6.078431372550000544e-01 1.409000000000000057e+02
2.869352869352869151e-01 6.117647058820000483e-01 1.430333333333333314e+02
2.913308913308913506e-01 6.156862745100000200e-01 1.454333333333333087e+02
2.962148962148962172e-01 6.196078431370000139e-01 1.481666666666666572e+02
3.015873015873015706e-01 6.235294117649999857e-01 1.501666666666666572e+02
3.057387057387057627e-01 6.274509803919999795e-01 1.525000000000000000e+02
3.106227106227106294e-01 6.313725490199999513e-01 1.552666666666666799e+02
3.162393162393162260e-01 6.352941176469999451e-01 1.577333333333333201e+02
3.211233211233211482e-01 6.392156862750000279e-01 1.602666666666666799e+02
3.262515262515262582e-01 6.431372549020000218e-01 1.624333333333333087e+02
3.306471306471306382e-01 6.470588235290000156e-01 1.648666666666666742e+02
3.357753357753357482e-01 6.509803921569999874e-01 1.678000000000000114e+02
3.416361416361416437e-01 6.549019607839999813e-01 1.701666666666666572e+02
3.465201465201465103e-01 6.588235294119999530e-01 1.728000000000000398e+02
3.518925518925519191e-01 6.627450980389999469e-01 1.753333333333333428e+02
3.570207570207570291e-01 6.666666666670000296e-01 1.778666666666666458e+02
3.621489621489621391e-01 6.705882352940000235e-01 1.808000000000000398e+02
3.680097680097680346e-01 6.745098039219999952e-01 1.831333333333333258e+02
3.728937728937729013e-01 6.784313725489999891e-01 1.857666666666666799e+02
3.782661782661782546e-01 6.823529411759999830e-01 1.884666666666666686e+02
3.836385836385836634e-01 6.862745098039999547e-01 1.916666666666666572e+02
3.902319902319902334e-01 6.901960784309999486e-01 1.942333333333333485e+02
3.953601953601953434e-01 6.941176470590000314e-01 1.967333333333333485e+02
4.004884004884005089e-01 6.980392156860000252e-01 1.996999999999999602e+02
4.065934065934065922e-01 7.019607843139999970e-01 2.025666666666666913e+02
4.124542124542124322e-01 7.058823529409999908e-01 2.059333333333333087e+02
4.192918192918193010e-01 7.098039215689999626e-01 2.081999999999999602e+02
4.239316239316239243e-01 7.137254901959999565e-01 2.120333333333333314e+02
4.317460317460317665e-01 7.176470588240000392e-01 2.139333333333333087e+02
4.356532356532356598e-01 7.215686274510000331e-01 2.181666666666666572e+02
4.442002442002441764e-01 7.254901960780000270e-01 2.203666666666666742e+02
4.485958485958486119e-01 7.294117647059999987e-01 2.234666666666666686e+02
4.549450549450549386e-01 7.333333333329999926e-01 2.265000000000000000e+02
4.610500610500610774e-01 7.372549019609999643e-01 2.296333333333333258e+02
4.673992673992674041e-01 7.411764705879999582e-01 2.326333333333333258e+02
4.735042735042734874e-01 7.450980392160000410e-01 2.353333333333333428e+02
4.791208791208791395e-01 7.490196078430000348e-01 2.390999999999999943e+02
4.866910866910866829e-01 7.529411764710000066e-01 2.418666666666666458e+02
4.923076923076923350e-01 7.568627450980000004e-01 2.455000000000000000e+02
4.998778998778998783e-01 7.607843137249999943e-01 2.491666666666666572e+02
5.072039072039071783e-01 7.647058823529999660e-01 2.518000000000000398e+02
5.125763125763125316e-01 7.686274509799999599e-01 2.546333333333333258e+02
5.184371184371184826e-01 7.725490196080000427e-01 2.590000000000000000e+02
5.272283272283272426e-01 7.764705882350000365e-01 2.618000000000000114e+02
5.330891330891330826e-01 7.803921568630000083e-01 2.657666666666666515e+02
5.411477411477411126e-01 7.843137254900000022e-01 2.685333333333333599e+02
5.467643467643467092e-01 7.882352941179999739e-01 2.720000000000000000e+02
5.538461538461538769e-01 7.921568627449999678e-01 2.752333333333332916e+02
5.604395604395604469e-01 7.960784313730000505e-01 2.785000000000000000e+02
5.670329670329670169e-01 8.000000000000000444e-01 2.818666666666666174e+02
5.738705738705738302e-01 8.039215686270000383e-01 2.857666666666667084e+02
5.816849816849817278e-01 8.078431372550000100e-01 2.887333333333333485e+02
5.877899877899878112e-01 8.117647058820000039e-01 2.930666666666666629e+02
5.965811965811965711e-01 8.156862745099999756e-01 2.960999999999999659e+02
6.026862026862026545e-01 8.196078431369999695e-01 2.997666666666666515e+02
6.102564102564103088e-01 8.235294117650000523e-01 3.035666666666666629e+02
6.180708180708180954e-01 8.274509803920000461e-01 3.078000000000000114e+02
6.266178266178266121e-01 8.313725490200000179e-01 3.109333333333333371e+02
6.329670329670329387e-01 8.352941176470000118e-01 3.142333333333332916e+02
6.398046398046397520e-01 8.392156862749999835e-01 3.188333333333333144e+02
6.490842490842491097e-01 8.431372549019999774e-01 3.215666666666666629e+02
6.547008547008547064e-01 8.470588235289999712e-01 3.263666666666666174e+02
6.644688644688644397e-01 8.509803921570000540e-01 3.296999999999999886e+02
6.713064713064712530e-01 8.549019607840000479e-01 3.339333333333333371e+02
6.798534798534798806e-01 8.588235294120000196e-01 3.375666666666666629e+02
6.871794871794871806e-01 8.627450980390000135e-01 3.414000000000000341e+02
6.949938949938949673e-01 8.666666666669999852e-01 3.448666666666666174e+02
7.020757020757020239e-01 8.705882352939999791e-01 3.491999999999999886e+02
